 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_mean ess_sd ess_bulk ess_tail r_hat
dir_a[1,3] 0.285 0.242 0.001 0.774 0.007 0.005 1151.0 1012.0 1253.0 879.0 1.0
dir_a[2,0] 0.114 0.132 0.0 0.358 0.004 0.003 902.0 794.0 1019.0 1101.0 1.0
dir_a[2,1] 0.565 0.249 0.169 1.0 0.007 0.006 1127.0 934.0 929.0 576.0 1.0
dir_a[2,2] 0.251 0.246 0.0 0.748 0.008 0.006 886.0 737.0 1056.0 851.0 1.0
dir_a[2,3] 0.268 0.254 0.0 0.805 0.009 0.007 775.0 608.0 824.0 593.0 1.0
w[0,0] 0.102 0.106 0.0 0.294 0.003 0.003 1032.0 839.0 1180.0 1314.0 1.01
w[0,1] 0.646 0.213 0.235 0.975 0.006 0.004 1140.0 1140.0 1173.0 845.0 1.0
w[0,2] 0.141 0.138 0.0 0.401 0.003 0.003 1678.0 1531.0 1492.0 1089.0 1.0
w[0,3] 0.111 0.144 0.0 0.384 0.006 0.005 522.0 472.0 902.0 596.0 1.0
w[1,0] 0.302 0.245 0.0 0.785 0.008 0.005 1022.0 1022.0 1055.0 1269.0 1.0
w[1,1] 0.298 0.221 0.0 0.706 0.005 0.003 2355.0 2055.0 2053.0 1087.0 1.0
w[1,2] 0.248 0.208 0.0 0.635 0.005 0.004 1702.0 1702.0 1433.0 1217.0 1.0
w[1,3] 0.152 0.16 0.0 0.464 0.004 0.003 1410.0 1346.0 1280.0 1142.0 1.0
w[2,0] 0.149 0.155 0.0 0.447 0.005 0.004 1053.0 930.0 1138.0 1025.0 1.0
w[2,1] 0.661 0.205 0.284 0.984 0.006 0.004 1259.0 1259.0 1330.0 1265.0 1.0
w[2,2] 0.099 0.102 0.0 0.29 0.002 0.002 2143.0 1961.0 1730.0 887.0 1.0
w[2,3] 0.091 0.108 0.0 0.279 0.003 0.002 1681.0 1423.0 1100.0 600.0 1.0
pw[0] 1.249 0.116 1.027 1.459 0.004 0.003 1058.0 1056.0 1061.0 1213.0 1.0
pw[1] 1.03 0.162 0.731 1.317 0.005 0.004 880.0 880.0 887.0 1144.0 1.0
pw[2] 1.183 0.216 0.833 1.623 0.011 0.008 413.0 409.0 439.0 712.0 1.02
